X1,airline,airline_id,source_airport,source_airport_id,destination_airport,destination_airport_id,codeshare,stops,totalcap
0,2B,410,AER,2965,KZN,2990,160,0,50
1,2B,410,ASF,2966,KZN,2990,160,0,50
2,2B,410,ASF,2966,MRV,2962,160,0,50
3,2B,410,CEK,2968,KZN,2990,160,0,50
4,2B,410,CEK,2968,OVB,4078,160,0,50
5,2B,410,DME,4029,KZN,2990,160,0,50
6,2B,410,DME,4029,NBC,6969,160,0,50
7,2B,410,DME,4029,TGK,\N,160,0,50
8,2B,410,DME,4029,UUA,6160,160,0,50
9,2B,410,EGO,6156,KGD,2952,160,0,50
10,2B,410,EGO,6156,KZN,2990,160,0,50
11,2B,410,GYD,2922,NBC,6969,160,0,50
12,2B,410,KGD,2952,EGO,6156,160,0,50
13,2B,410,KZN,2990,AER,2965,160,0,50
14,2B,410,KZN,2990,ASF,2966,160,0,50
15,2B,410,KZN,2990,CEK,2968,160,0,50
16,2B,410,KZN,2990,DME,4029,160,0,50
17,2B,410,KZN,2990,EGO,6156,160,0,50
18,2B,410,KZN,2990,LED,2948,160,0,50
19,2B,410,KZN,2990,SVX,2975,160,0,50
20,2B,410,LED,2948,KZN,2990,160,0,50
21,2B,410,LED,2948,NBC,6969,160,0,50
22,2B,410,LED,2948,UUA,6160,160,0,50
23,2B,410,MRV,2962,ASF,2966,160,0,50
24,2B,410,NBC,6969,DME,4029,160,0,50
25,2B,410,NBC,6969,GYD,2922,160,0,50
26,2B,410,NBC,6969,LED,2948,160,0,50
27,2B,410,NBC,6969,SVX,2975,160,0,50
28,2B,410,NJC,2972,SVX,2975,160,0,50
29,2B,410,NJC,2972,UUA,6160,160,0,50
30,2B,410,NUX,4364,SVX,2975,160,0,50
31,2B,410,OVB,4078,CEK,2968,160,0,50
32,2B,410,OVB,4078,SVX,2975,160,0,50
33,2B,410,SVX,2975,KZN,2990,160,0,50
34,2B,410,SVX,2975,NBC,6969,160,0,50
35,2B,410,SVX,2975,NJC,2972,160,0,50
36,2B,410,SVX,2975,NUX,4364,160,0,50
37,2B,410,SVX,2975,OVB,4078,160,0,50
38,2B,410,TGK,\N,DME,4029,160,0,50
39,2B,410,UUA,6160,DME,4029,160,0,50
40,2B,410,UUA,6160,LED,2948,160,0,50
41,2B,410,UUA,6160,NJC,2972,160,0,50
42,2G,1654,BTK,2936,IKT,2937,160,0,160
43,2G,1654,BTK,2936,OVB,4078,160,0,160
44,2G,1654,CEK,2968,OVB,4078,160,0,160
45,2G,1654,HTA,2935,IKT,2937,160,0,160
46,2G,1654,IKT,2937,BTK,2936,160,0,160
47,2G,1654,IKT,2937,HTA,2935,160,0,160
48,2G,1654,IKT,2937,KCK,\N,160,0,160
49,2G,1654,IKT,2937,ODO,8944,160,0,160
50,2G,1654,IKT,2937,OVB,4078,160,0,160
51,2G,1654,IKT,2937,UKX,6924,160,0,160
52,2G,1654,IKT,2937,ULK,9026,160,0,160
53,2G,1654,IKT,2937,YKS,2923,160,0,160
54,2G,1654,KCK,\N,IKT,2937,160,0,160
55,2G,1654,MJZ,2925,OVB,4078,160,0,160
56,2G,1654,ODO,8944,IKT,2937,160,0,160
57,2G,1654,OVB,4078,BTK,2936,160,0,160
58,2G,1654,OVB,4078,CEK,2968,160,0,160
59,2G,1654,OVB,4078,IKT,2937,160,0,160
60,2G,1654,UKX,6924,IKT,2937,160,0,160
61,2G,1654,ULK,9026,IKT,2937,160,0,160
62,2G,1654,YKS,2923,IKT,2937,160,0,160
63,2I,8359,AYP,2786,LIM,2789,160,0,100
64,2I,8359,CUZ,2812,LIM,2789,160,0,283
65,2I,8359,CUZ,2812,PEM,2808,160,0,100
66,2I,8359,HUU,6067,LIM,2789,160,0,100
67,2I,8359,IQT,2801,PCL,2781,160,0,100
68,2I,8359,IQT,2801,TPP,2806,160,0,100
69,2I,8359,LIM,2789,AYP,2786,160,0,100
70,2I,8359,LIM,2789,CUZ,2812,160,0,283
71,2I,8359,LIM,2789,HUU,6067,160,0,100
72,2I,8359,LIM,2789,PCL,2781,160,0,289
73,2I,8359,LIM,2789,TPP,2806,160,0,288
74,2I,8359,PCL,2781,IQT,2801,160,0,100
75,2I,8359,PCL,2781,LIM,2789,160,0,289
76,2I,8359,PCL,2781,TPP,2806,160,0,100
77,2I,8359,PEM,2808,CUZ,2812,160,0,100
78,2I,8359,TPP,2806,IQT,2801,160,0,100
79,2I,8359,TPP,2806,LIM,2789,160,0,288
80,2I,8359,TPP,2806,PCL,2781,160,0,100
81,2J,470,ABJ,253,BOY,247,160,0,160
82,2J,470,ABJ,253,OUA,246,160,0,19
83,2J,470,ACC,248,OUA,246,160,0,160
84,2J,470,BKO,1044,ABJ,253,160,0,139
85,2J,470,BKO,1044,DKR,1084,160,0,139
86,2J,470,BKO,1044,OUA,246,160,0,160
87,2J,470,BOY,247,ABJ,253,160,0,160
88,2J,470,BOY,247,OUA,246,160,0,160
89,2J,470,COO,245,LFW,298,160,0,139
90,2J,470,COO,245,OUA,246,160,0,139
91,2J,470,DKR,1084,BKO,1044,160,0,139
92,2J,470,DKR,1084,OUA,246,160,0,139
93,2J,470,LFW,298,OUA,246,160,0,19
94,2J,470,NIM,280,OUA,246,160,0,160
95,2J,470,OUA,246,ABJ,253,160,0,19
96,2J,470,OUA,246,ACC,248,160,0,160
97,2J,470,OUA,246,BKO,1044,160,0,19
98,2J,470,OUA,246,BOY,247,160,0,160
99,2J,470,OUA,246,COO,245,160,0,139
100,2J,470,OUA,246,DKR,1084,160,0,139
101,2J,470,OUA,246,LFW,298,160,0,160
102,2J,470,OUA,246,NIM,280,160,0,160
103,2K,1338,BOG,2709,GYE,2673,160,0,142
104,2K,1338,BOG,2709,UIO,2688,160,0,639
105,2K,1338,CLO,2715,GYE,2673,160,0,142
106,2K,1338,GYE,2673,BOG,2709,160,0,142
107,2K,1338,GYE,2673,CLO,2715,160,0,142
108,2K,1338,GYE,2673,SCY,6045,160,0,639
109,2K,1338,GYE,2673,UIO,2688,160,0,639
110,2K,1338,OCC,2670,UIO,2688,160,0,142
111,2K,1338,SCY,6045,GYE,2673,160,0,639
112,2K,1338,UIO,2688,BOG,2709,160,0,639
113,2K,1338,UIO,2688,GYE,2673,160,0,142
114,2K,1338,UIO,2688,OCC,2670,160,0,142
115,2L,2750,BDS,1506,ZRH,1678,160,0,122
116,2L,2750,BOD,1264,ZRH,1678,160,0,122
117,2L,2750,BRS,490,ZRH,1678,160,0,122
118,2L,2750,GVA,1665,LPA,1054,160,0,142
119,2L,2750,LCA,1197,ZRH,1678,160,0,142
120,2L,2750,LPA,1054,ZRH,1678,160,0,142
121,2L,2750,RMF,4197,ZRH,1678,160,0,142
122,2L,2750,TFS,1056,GVA,1665,160,0,142
123,2L,2750,ZRH,1678,BDS,1506,160,0,122
124,2L,2750,ZRH,1678,BOD,1264,160,0,122
125,2L,2750,ZRH,1678,BRS,490,160,0,122
126,2L,2750,ZRH,1678,LCA,1197,160,0,142
127,2L,2750,ZRH,1678,LPA,1054,160,0,142
128,2L,2750,ZRH,1678,RMF,4197,160,0,142
129,2N,3652,AJR,730,LYC,719,160,0,160
130,2N,3652,ARN,149,GEV,715,160,0,160
131,2N,3652,ARN,149,HAD,709,160,0,35
132,2N,3652,ARN,149,JKG,688,160,0,19
133,2N,3652,ARN,149,KRF,718,160,0,160
134,2N,3652,ARN,149,KSD,5595,160,0,35
